m,R : score,5m/6,gap,a : R/(5m/6)*100,average,(ave-a)^2,S : standard deviation,É¢: 1.96*S/Å„1000,confidence interval
1342,784,1118.33,334.333,70.10453086,,0.911158148,,,
1286,721,1071.67,350.667,67.27817332,,3.503678298,,,
1278,724,1065,341,67.98122066,,1.366009668,,,
1408,791,1173.33,382.333,67.41496425,,3.010296389,,,
1340,761,1116.67,355.667,68.1490503,,1.001869911,,,
1340,772,1116.67,344.667,69.13412199,,0.000251629,,,
1383,778,1152.5,374.5,67.50542299,,2.704583601,,,
1314,766,1095,329,69.9543379,,0.646983877,,,
1331,777,1109.17,332.167,70.05238151,,0.814319787,,,
1306,765,1088.33,323.333,70.29118006,,1.302326587,,,
1333,766,1110.83,344.833,68.95744623,,0.037071107,,,
1322,755,1101.67,346.667,68.53231912,,0.381510922,,,
1410,815,1175,360,69.36170213,,0.044824218,,,
1330,776,1108.33,332.333,70.01524817,,0.748680658,,,
1348,801,1123.33,322.333,71.30584957,,4.64775283,,,
1347,771,1122.5,351.5,68.68596882,,0.215310849,,,
1288,739,1073.33,334.333,68.8511455,,0.089304939,,,
1355,777,1129.17,352.167,68.81160498,,0.114500913,,,
1376,822,1146.67,324.667,71.68583812,,6.430551972,,,
1302,749,1085,336,69.03225806,,0.013859589,,,
1295,741,1079.17,338.167,68.66388057,,0.236297337,,,
1289,745,1074.17,329.167,69.35587477,,0.042390671,,,
1392,814,1160,346,70.17241379,,1.045361005,,,
1322,760,1101.67,341.667,68.98617553,,0.026833482,,,
1440,851,1200,349,70.91666667,,3.121164747,,,
1364,783,1136.67,353.667,68.88542849,,0.069990053,,,
1390,824,1158.33,334.333,71.13689536,,3.947813486,,,
1382,789,1151.67,362.667,68.50920837,,0.410594463,,,
1381,805,1150.83,345.833,69.9495147,,0.639248026,,,
1323,781,1102.5,321.5,70.83900227,,2.852779938,,,
1371,771,1142.5,371.5,67.48358862,,2.776876291,,,
1357,791,1130.83,339.833,69.94862181,,0.63782104,,,
1386,791,1155,364,68.48484848,,0.442406344,,,
